query_id,candidate_id,reference_id,serving_rank,bm25_score,dense_cosine,hybrid_rrf,query_term_coverage,source_document,source_page,relevance_judgment
TECH-AR-001,TECH-AR-001-C13,6be20ce073d3d7d5fed66345f2d7484809b0eb902b43213436e74f3b0952265a,12,0.0,0.796017,0.00505708,0.0,Contrat Zitouna  PCA .pdf,2,
TECH-AR-001,TECH-AR-001-C14,09f4d3df1b5d65aa8a6a049d51f4e0b4a6496bfcad459fa94d8ab5b76bc8b15b,13,0.0,0.790317,0.00480415,0.0,Attestation OACA Mission PCA 2018 (1).pdf,1,
TECH-AR-001,TECH-AR-001-C15,15e2e960913e748bc4ba6090c23e92c6a3215e353d46b46e2e3df6798bdae279,11,0.0,0.798441,0.00509077,0.0,Attestation ENDA PCA 2014 (1).pdf,1,
TECH-AR-001,TECH-AR-001-C16,bfff0fd21ffbf03818d1e6a814d54249599b58b85b18e8c20c28a09b28461f7d,5,0.0,0.808547,0.00747411,0.0,Attestation de PCA BIAT 2014.pdf,1,
TECH-AR-001,TECH-AR-001-C17,14487247262c61e6abc0ec22c292f435c00759df934fa36376214bbc79130ddd,1,0.0,0.805777,0.0089527,0.0,Référence PCA BTK.pdf,1,
TECH-AR-001,TECH-AR-001-C18,38f6543c913e6155ed935bc93b2eb9adb740b8d292f9afd40065032ca7b62b82,6,0.0,0.783691,0.00696078,0.0,Opérationnalisation du PCA de la BCT.pdf,1,
TECH-AR-001,TECH-AR-001-C19,483e7b21bac4b9f368b05166179ee495bd3a5288c0c9b112f47a122437a7d50e,10,0.0,0.801852,0.0058651,0.0,Attestation de PCA BFI 2019 (1).pdf,1,
TECH-AR-001,TECH-AR-001-C20,d2bcb45b0c1b5ceead755effa0f71b9eeef8671222fb364fe31f58ca60a84616,14,0.0,0.79688,0.00457775,0.0,Attestation Cadrage PCA MAE 2019 (1).pdf,1,
TECH-MIX-001,TECH-MIX-001-C01,ddfea4a8ad68acb0895e97186bb338f6846444db384a50866682f51cc31ade86,6,2.617081,0.855551,0.01205765,1.0,Attestation zitouna takaful pca.pdf,1,
TECH-MIX-001,TECH-MIX-001-C02,6be20ce073d3d7d5fed66345f2d7484809b0eb902b43213436e74f3b0952265a,4,2.687322,0.869998,0.01330701,1.0,Contrat Zitouna  PCA .pdf,2,
TECH-MIX-001,TECH-MIX-001-C03,62a9d1226bbe6d3c4560efcd092bc0be86715b0586de4a0a419707e9476041e1,9,2.802129,0.839338,0.01099721,1.0,Cadrage PCA COMAR 2020 (1).pdf,1,
TECH-MIX-001,TECH-MIX-001-C04,31b38641362917748ceb82e29e8b0568b15406f62c1714d2fd4614ab469b9411,5,3.060404,0.855988,0.01254455,1.0,BIAT_MCO.pdf,1,
TECH-MIX-001,TECH-MIX-001-C05,6e9b3ac6c68b1be6dd2fcf1bf8d6fb60ca946ab6314376626a3b2537a84b6040,8,2.592979,0.852037,0.0112963,1.0,Attestation star pca.pdf,1,
TECH-MIX-001,TECH-MIX-001-C06,54b110427999b6eebe2f45331c0f98f70c2f5085e0d81e6fac012c72d3ca4278,11,2.636984,0.838296,0.00995649,1.0,Attestation de PCA TRADEX.pdf,1,
TECH-MIX-001,TECH-MIX-001-C07,647624c5a1758d25a07147463c4f652d15470db496512123252d16f1d30ae3a7,14,2.377229,0.821167,0.00537464,1.0,Attestation DEVOTEAM 28042022 - BIS (3).pdf,1,
TECH-MIX-001,TECH-MIX-001-C08,38f6543c913e6155ed935bc93b2eb9adb740b8d292f9afd40065032ca7b62b82,1,2.900129,0.863012,0.01471861,1.0,Opérationnalisation du PCA de la BCT.pdf,1,
TECH-MIX-001,TECH-MIX-001-C09,f88d0ed9ff864aec09a27a05738b73780b7b9de7e755cd0a3a1a45405233383d,3,2.538874,0.872883,0.01355449,1.0,mise en place PCA.pdf,1,
TECH-MIX-001,TECH-MIX-001-C10,58004b365d3d74391a9c60eff7f70bd82d589718a355a1260e333611d19f8f7c,7,2.718478,0.84779,0.01156105,1.0,Attestation de référence MITIGAN. PCA.pdf,1,
TECH-MIX-001,TECH-MIX-001-C11,c9a8ed8cbd88c6709bb8ae0ee1cca7845d518212b63606399b924db80b6f30bc,12,2.098845,0.859093,0.00971894,1.0,attestation-de-reference-enda-cash.pdf,1,
TECH-MIX-001,TECH-MIX-001-C12,14487247262c61e6abc0ec22c292f435c00759df934fa36376214bbc79130ddd,2,2.597429,0.86845,0.01444906,1.0,Référence PCA BTK.pdf,1,
TECH-MIX-001,TECH-MIX-001-C13,8f28f7d835418b46a6039a5f5990eef686cd2e089da679d60b8b217acab107c7,13,2.324066,0.833283,0.00633112,1.0,Attestation sonede PSI .pdf,1,
TECH-MIX-001,TECH-MIX-001-C14,95abaf3e9e68fe399991e6feb166817adc7a1bd96424a0390809865cff492b25,10,2.780197,0.83765,0.01054945,1.0,Attestation de PCA STAR 2016 .pdf,1,
